愛育,あいいく,aiiku
兵站,へいたん,heitan
畜生,ちくしょう,chikushou
糶,うりよね,uriyone
鉞,まさかり,masakari
麩,ふ,fu
歿,ぼつ,botsu
長命寺餅,ちょうめいじもち,choumeijimochi
電気,でんき,denki
特別,とくべつ,tokubetsu
正式,せいしき,seishiki
腹痛,ふくつう,fukutsuu
特技,とくぎ,tokugi
技能,ぎのう,ginou
出版,しゅっぱん,shuppan
方式,ほうしき,houshiki
形式,けいしき,keishiki
消滅,しょうめつ,shoumetsu
礼儀,れいぎ,reigi
仁義,じんぎ,jingi
多寡,たか,taka
作用,さよう,sayou
影響,ようごう,yougou
反応,はんのう,hannou
質問,しつもん,shitsumon
理由,りゆう,riyuu
平面,へいめん,heimen
静止,せいし,seishi
信じる,しんじる,shinjiru
境遇,きょうぐう,kyouguu
事情,じじょう,jijou
外見,がいけん,gaiken
気配,けはい,kehai
気風,きふう,kifuu
特定,とくてい,tokutei
指定,してい,shitei
方針,ほうしん,houshin
過程,かてい,katei
等級,とうきゅう,toukyuu
数量,すうりょう,suuryou
商品,しょうひん,shouhin
基礎,きそ,kiso
呼称,こしょう,koshou
体操,たいそう,taisou
種類,しゅるい,shurui
区分,くぶん,kubun
全体,ぜんたい,zentai
区別,くべつ,kubetsu
特徴,とくちょう,tokuchou
計算,けいさん,keisan
同盟罷業,どうめいひぎょう,doumeihigyou
比較,ひかく,hikaku
独特,どくとく,dokutoku
体制,たいせい,taisei
警察,けいさつ,keisatsu
バナナ,ばなな,banana
配慮,はいりょ,hairyo
世話,せわ,sewa
世間,せけん,seken
範囲,はんい,han'i
限界,げんかい,genkai
要素,ようそ,youso
成分,せいぶん,seibun
文章,ぶんしょう,bunshou
散文,さんぶん,sanbun
作品,さくひん,sakuhin
設計,せっけい,sekkei
機械,きかい,kikai
装置,そうち,souchi
用意,ようい,youi
用心,ようじん,youjin
警戒,けいかい,keikai
部署,ぶしょ,busho
作業,さぎょう,sagyou
保管,ほかん,hokan
鬼畜,きちく,kichiku
管理,かんり,kanri
思想,しそう,shisou
介在,かいざい,kaizai
開豁地,かいかつち,kaikatsuchi
中間,ちゅうかん,chuukan
中立,ちゅうりつ,chuuritsu
中庸,ちゅうよう,chuuyou
書籍,しょせき,shoseki
図書,としょ,tosho
経文,きょうもん,kyoumon
判断,はんだん,handan
左翼,さよく,sayoku
情事,じょうじ,jouji
勝敗,しょうはい,shouhai
演歌,えんか,enka
医者,いしゃ,isha
武芸,ぶげい,bugei
武術,ぶじゅつ,bujutsu
果実,かじつ,kajitsu
生死,せいし,seishi
職業,しょくぎょう,shokugyou
難儀,なんぎ,nangi
配偶者,はいぐうしゃ,haiguusha
義母,ぎぼ,gibo
頭蓋骨,とうがいこつ,tougaikotsu
製紙,せいし,seishi
精子,せいし,seishi
承諾,しょうだく,shoudaku
発言,はつげん,hatsugen
不正,ふせい,fusei
不整,ふせい,fusei
映像,えいぞう,eizou
太郎,たろう,tarou
陳腐,ちんぷ,chinpu
進行,しんこう,shinkou
解決,かいけつ,kaiketsu
処理,しょり,shori
直腸,ちょくちょう,chokuchou
加工,かこう,kakou
放送,ほうそう,housou
魔女,まじょ,majo
地積,ちせき,chiseki
適応,てきおう,tekiou
聖樹,せいじゅ,seiju
瞬間,しゅんかん,shunkan
弁当,べんとう,bentou
語源,ごげん,gogen
架空,かくう,kakuu
留保,りゅうほ,ryuuho
トイレット,トイレット,toiretto
御手洗団子,みたらしだんご,mitarashidango
人格,じんかく,jinkaku
草葉の陰,くさばのかげ,kusabanokage
侵害,しんがい,shingai
肝臓,かんぞう,kanzou
豆腐,とうふ,toufu
役割,やくわり,yakuwari
豆乳,とうにゅう,tounyuu
保障,ほしょう,hoshou
松明,たいまつ,taimatsu
申述,しんじゅつ,shinjutsu
不純,ふじゅん,fujun
潔白,けっぱく,keppaku
薬缶,やかん,yakan
薬鑵,やかん,yakan
愛機,あいき,aiki
愛器,あいき,aiki
愛妓,あいご,aigo
関連,かんれん,kanren
顚末,てんまつ,tenmatsu
効果,こうか,kouka
歌手,かしゅ,kashu
正坐,せいざ,seiza
属性,ぞくせい,zokusei
履行,りこう,rikou
複数,ふくすー,fukusuu
執行,しっこう,shikkou
期間,きかん,kikan
口頭,こうとう,koutou
近親相姦,きんしんそうかん,kinshinsoukan
自粛,じしゅく,jishuku
等差数列,とうさすうれつ,tousasuuretsu
等比数列,とうひすうれつ,touhisuuretsu
略字,りゃくじ,ryakuji
代用字,だいようじ,daiyouji
胆嚢,たんのう,tannou
閲覧,えつらん,etsuran
樊噲草,はんかいそう,hankaisou
薔薇,しょうび,shoubi
颯爽,さっそう,sassou
有象無象,うぞうむぞう,uzoumuzou
話題,わだい,wadai
執着,しゅうちゃく,shuuchaku
剣ヶ峰,けんがみね,kengamine
物理学,ぶつりがく,butsurigaku
堤防,ていぼう,teibou
構築,こうちく,kouchiku
地帯,ちたい,chitai
区域,くいき,kuiki
ながれ,ながれ,nagare
過失,かしつ,kashitsu
脾臓,ひぞう,hizou
両生類,りょうせいるい,ryouseirui
週間,しゅうかん,shuukan
とんぼ,とんぼ,tonbo
玩具,おもちゃ,omocha
飛蝗,ひこう,hikou
維持,いじ,iji
数列,すうれつ,suuretsu
監獄,かんごく,kangoku
石鹸,せっけん,sekken
石鹼,せっけん,sekken
シャボン玉,しゃぼんだま,shabondama
うつ,うたない,utanai
公正,こうせい,kousei
章魚,たこ,tako
防寒,ぼうかん,boukan
酸化,さんか,sanka
作物,さくぶつ,sakubutsu
訴追,そつい,sotsui
同意,どうい,doui
共感,きょうかん,kyoukan
平方根,へいほうこん,heihoukon
未知数,みちすう,michisuu
対象,たいしょう,taishou
鹵獲,ろかく,rokaku
威力,いりょく,iryoku
階段,かいだん,kaidan
鯨飲馬食,げいいんばしょく,geiinbashoku
人参,にんじん,ninjin
懐炉,かいろ,kairo
懐中電灯,かいちゅうでんとう,kaichuudentou
バスローブ,バスローブ,basuroobu
胡蘿蔔,こらふ,korafu
妨害,ぼうがい,bougai
瑕疵,かし,kashi
部品,ぶひん,buhin
庫裏,くり,kuri
有益,ゆうえき,yuueki
亡霊,ぼうれい,bourei
立候補,りっこうほ,rikkouho
飲酒,いんしゅ,inshu
金魚,きんぎょ,kingyo
煩悩,ぼんのう,bonnou
パンツ,ぱんつ,pantsu
熟考,じゅっこう,jukkou
蜀犬,しょっけん,shokken
原本,げんぽん,genpon
今年,ことし,kotoshi
気力,きりょく,kiryoku
知障,ちしょう,chishou
前後,ぜんご,zengo
等比級数,とうひきゅうすう,touhikyuusuu
商量,しょうりょう,shouryou
損害,そんがい,songai
排除,はいじょ,haijo
地図,ちず,chizu
絨毯,じゅうたん,juutan
北京,ペキン,pekin
対偶,たいぐう,taiguu
名言,めいげん,meigen
飯盒,はんごう,hangou
万般,ばんぱん,banpan
万死,ばんし,banshi
万象,ばんしょう,banshou
森羅万象,しんらばんしょう,shinrabanshou
献花,けんか,kenka
異議,いぎ,igi
不穏,ふおん,fuon
疾雷,しつらい,shitsurai
落雷,らくらい,rakurai
電光,でんこう,denkou
略語,りゃくご,ryakugo
斜格,しゃかく,shakaku
うばぐるま,うばぐるま,ubaguruma
個別,こべつ,kobetsu
追認,ついにん,tsuinin
基準,きじゅん,kijun
指導,しどう,shidou
虚偽,きょぎ,kyogi
抑制,よくせい,yokusei
専門,せんもん,senmon
一夫一妻制,いっぷいっさいせい,ippuissaisei
義務,ぎむ,gimu
追求,ついきゅう,tsuikyuu
抑留,よくりゅう,yokuryuu
義務教育,ぎむきょういく,gimukyouiku
安養浄土,あんにょうじょうど,annyoujoudo
天堂,てんどう,tendou
浄土,じょうど,joudo
代替,だいたい,daitai
申請,しんせい,shinsei
背信,はいしん,haishin
原義,げんぎ,gengi
経緯,けいい,keii
衝動,しょうどう,shoudou
衝撃,しょうげき,shougeki
攻撃,こうげき,kougeki
急襲,きゅうしゅう,kyuushuu
終了,しゅうりょう,shuuryou
貴覧,きらん,kiran
青藍,せいらん,seiran
音痴,おんち,onchi
地獄,じごく,jigoku
目録,もくろく,mokuroku
私的,してき,shiteki
制裁,せいさい,seisai
確認,かくにん,kakunin
動産,どうさん,dousan
占有,せんゆう,senyuu
弾劾,だんがい,dangai
委任,いにん,inin
規範,きはん,kihan
両親,りょうしん,ryoushin
鋭角,えいかく,eikaku
直角,ちょっかく,chokkaku
電子,でんし,denshi
三角形,さんかくけい,sankakukei
三角,さんかく,sankaku
正三角形,せいさんかくけい,seisankakukei
等角三角形,とうかくさんかくけい,toukakusankakukei
等辺三角形,とうへんさんかくけい,touhensankakukei
什麽,いんも,inmo
調停,ちょうてい,choutei
放棄,ほうき,houki
過度,かど,kado
悪徳,あくとく,akutoku
却下,きゃっか,kyakka
猛暑日,もうしょび,moushobi
通知,つうち,tsuuchi
許諾,きょだく,kyodaku
取得,とりえ,torie
暗然,あんぜん,anzen
晏然,あんぜん,anzen
威厳,いげん,igen
違憲,いけん,iken
保存,ほぞん,hozon
相対,そうたい,soutai
修繕,しゅうぜん,shuuzen
婚姻,こんいん,kon'in
将来,しょうらい,shourai
剥奪,はくだつ,hakudatsu
信用金庫,しんようきんこ,shinyoukinko
複利,ふくり,fukuri
小切手,こぎって,kogitte
投信,とうしん,toushin
趣旨,しゅし,shushi
確保,かくほ,kakuho
回復,かいふく,kaifuku
主文,しゅぶん,shubun
菠薐草,ほうれんそう,hourensou
記録,きろく,kiroku
開示,かいじ,kaiji
余裕,よゆう,yoyuu
軽易,けいい,keii
厳格,げんかく,genkaku
修正,しゅうせい,shuusei
郊外,こうがい,kougai
第二地方銀行,だいにちほうぎんこう,dainichihouginkou
第五,だいご,daigo
第六,だいろく,dairoku
第七,だいなな,dainana
第八,だいはち,daihachi
第九,だいきゅう,daikyuu
第十,だいじゅう,daijuu
高利貸,こうりがし,kourigashi
ぼる,ぼる,boru
ステンレス鋼,すてんれすこう,sutenresukou
濫用,らんよう,ranyou
回収,かいしゅう,kaishuu
釣り銭,つりせん,tsurisen
肺臓,はいぞう,haizou
響板,きょうばん,kyouban
純潔,じゅんけつ,junketsu
大楼,たいろう,tairou
真意,しんい,shin'i
行使,こうし,koushi
成立,せいりつ,seiritsu
提供,ていきょう,teikyou
償還,しょうかん,shoukan
工作物,こうさくぶつ,kousakubutsu
同一,どういつ,douitsu
当該,とうがい,tougai
書店,しょてん,shoten
眼鏡,めがね,megane
乳歯,にゅうし,nyuushi
表示,ひょうじ,hyouji
牡丹,ぼたん,botan
要求,ようきゅう,youkyuu
相当,そうとう,soutou
限定,げんてい,gentei
正当,せいとう,seitou
命令,めいれい,meirei
緊急,きんきゅう,kinkyuu
容易,ようい,youi
事項,じこう,jikou
有形,ゆうけい,yuukei
善悪,ぜんあく,zen'aku
公的,こうてき,kouteki
規定,きてい,kitei
夫婦,ふうふ,fuufu
所有,しょゆう,shoyuu
設定,せってい,settei
朝食,ちょうしょく,choushoku
昼食,ちゅうしょく,chuushoku
御飯,ごはん,gohan
惣菜,そうざい,souzai
飲料,いんりょう,inryou
御茶,おちゃ,ocha
成果,せいか,seika
製菓,せいか,seika
製靴,せいか,seika
お茶,おちゃ,ocha
緑茶,りょくちゃ,ryokucha
烏龍茶,ウーロンちゃ,uuroncha
抹茶,まっちゃ,matcha
紅茶,こうちゃ,koucha
カフェ,かふぇ,kafe
調味料,ちょうみりょう,choumiryou
芥子,かいし,kaishi
大事,だいじ,daiji
重大,じゅうだい,juudai
周年,しゅうねん,shuunen
教義,きょうぎ,kyougi
教理,きょうり,kyouri
教条,きょうじょう,kyoujou
狭義,きょうぎ,kyougi
広義,こうぎ,kougi
経木,きょうぎ,kyougi
角材,かくざい,kakuzai
本編,ほんぺん,honpen
再昨年,さいさくねん,saisakunen
要件,ようけん,youken
過分,かぶん,kabun
記載,きさい,kisai
にんにく,にんにく,ninniku
山椒,さんしょう,sanshou
燦爛,さんらん,sanran
簡易,かんい,kan'i
迅速,じんそく,jinsoku
一部,いちぶ,ichibu
除去,じょきょ,jokyo
五月晴れ,さつきばれ,satsukibare
救済,きゅうさい,kyuusai
最少,さいしょう,saishou
詐欺,さぎ,sagi
できる,できる,dekiru
遅延,ちえん,chien
危惧,きぐ,kigu
婚約者,こんやくしゃ,konyakusha
自暴自棄,じぼうじき,jiboujiki
抽象,ちゅうしょう,chuushou
具体的,ぐたいてき,gutaiteki
借地,しゃくち,shakuchi
御馳走様,ごちそうさま,gochisousama
優先,ゆうせん,yuusen
有効,ゆうこう,yuukou
停止,ていし,teishi
台所,だいどころ,daidokoro
書斎,しょさい,shosai
洗面所,せんめんじょ,senmenjo
膠泥,こうでい,koudei
方便,たずき,tazuki
食卓,しょくたく,shokutaku
解散,かいさん,kaisan
同時,どうじ,douji
失踪,しっそう,shissou
通謀,つうぼう,tsuubou
詐取,さしゅ,sashu
布団,ふとん,futon
外戚,がいせき,gaiseki
内戚,ないしゃく,naishaku
月光,げっこう,gekkou
遊戯,ゆうぎ,yuugi
友情,ゆうじょう,yuujou
枕頭,ちんとう,chintou
洗浄,せんじょう,senjou
乙夜,いつや,itsuya
遺産,いさん,isan
段段,だんだん,dandan
充電,じゅうでん,juuden
定期,ていき,teiki
彫刻,ちょうこく,choukoku
定規,じょうぎ,jougi
以後,いご,igo
不法行為,ふほうこうい,fuhoukoui
同盟休校,どうめいきゅうこう,doumeikyuukou
限度,げんど,gendo
判決,はんけつ,hanketsu
有限,ゆうげん,yuugen
公開,こうかい,koukai
宗教,しゅうきょう,shuukyou
愛着,あいじゃく,aijaku
愛嬢,あいじょう,aijou
哀情,あいじょう,aijou
旋律,せんりつ,senritsu
双方,そうほう,souhou
成就,じょうじゅ,jouju
時代錯誤,じだいさくご,jidaisakugo
嫡出,ちゃくしゅつ,chakushutsu
強情,ごうじょう,goujou
威風凛凛,いふうりんりん,ifuurinrin
予約,よやく,yoyaku
視力,しりょく,shiryoku
時候,じこう,jikou
温柔,おんじゅう,onjuu
発覚,はっかく,hakkaku
献身,けんしん,kenshin
検診,けんしん,kenshin
戦場,せんじょう,senjou
誠実,せいじつ,seijitsu
独立,どくりつ,dokuritsu
大廈,たいか,taika
拘束,こうそく,kousoku
随意,ずいい,zuii
未曾有,みぞう,mizou
慰安婦,いあんふ,ianfu
理論,りろん,riron
必須,ひっす,hissu
肯定,こうてい,koutei
広大,こうだい,koudai
細心,さいしん,saishin
全球,ぜんきゅう,zenkyuu
化合物,かごうぶつ,kagoubutsu
誇張,こちょう,kochou
事業,じぎょう,jigyou
ハンマー投げ,ハンマーなげ,hanmaanage
鞦韆,しゅうせん,shuusen
颱風,たいふう,taifuu
帰属,きぞく,kizoku
微妙,びみょう,bimyou
美妙,びみょう,bimyou
不可分,ふかぶん,fukabun
共同,きょうどう,kyoudou
分割,ぶんかつ,bunkatsu
後悔,こうかい,koukai
遺留,いりゅう,iryuu
常務,じょうむ,joumu
執拗,しつよう,shitsuyou
教導,きょうどう,kyoudou
定義,ていぎ,teigi
即時,そくじ,sokuji
適合,てきごう,tekigou
新株,しんかぶ,shinkabu
尊厳,そんげん,songen
想起,そうき,souki
違法,いほう,ihou
法規,ほうき,houki
形式的,けいしきてき,keishikiteki
協定,きょうてい,kyoutei
強要,きょうよう,kyouyou
明確,めいかく,meikaku
相互,そうご,sougo
内在,ないざい,naizai
揮発,きはつ,kihatsu
重量,じゅうりょう,juuryou
逮捕,たいほ,taiho
決戦,けっせん,kessen
免責,めんせき,menseki
可憐,かれん,karen
僅僅,きんきん,kinkin
優位,ゆうい,yuui
適格,てきかく,tekikaku
臨時,りんじ,rinji
猛然,もうぜん,mouzen
一般的,いっぱんてき,ippanteki
民事訴訟,みんじそしょう,minjisoshou
電壓,でんあつ,den'atsu
形成,けいせい,keisei
心懐,しんかい,shinkai
突然,とつぜん,totsuzen
耕耘機,こううんき,kouunki
耕運機,こううんき,kouunki
弁論,べんろん,benron
自殺,じさつ,jisatsu
奴隷,どれい,dorei
電波,でんぱ,denpa
真正,しんせい,shinsei
自動,じどう,jidou
徴収,ちょうしゅう,choushuu
生魚,せいぎょ,seigyo
自然,しぜん,shizen
特殊,とくしゅ,tokushu
公道,こうどう,koudou
飛船,ひせん,hisen
熱機関,ねつきかん,netsukikan
回転,かいてん,kaiten
電流,でんりゅう,denryuu
投票,とうひょう,touhyou
手法,しゅほう,shuhou
助言,じょげん,jogen
認定,にんてい,nintei
補助,ほじょ,hojo
口頭弁論,こうとうべんろん,koutoubenron
国民年金,こくみんねんきん,kokuminnenkin
規則,きそく,kisoku
氷礫丘,ひょうれききゅう,hyourekikyuu
新郎,しんろう,shinrou
新夫,しんふ,shinfu
新妻,しんさい,shinsai
新婦,しんぷ,shinpu
客観,きゃっかん,kyakkan
民生,みんせい,minsei
内廷,ないてい,naitei
極光,きょっこう,kyokkou
定立,ていりつ,teiritsu
発布,はっぷ,happu
所在,しょざい,shozai
落花,らっか,rakka
関節,かんせつ,kansetsu
新奇,しんき,shinki
事故る,じこる,jikoru
空闊,くうかつ,kuukatsu
術語,じゅつご,jutsugo
術後,じゅつご,jutsugo
食品,しょくひん,shokuhin
予算,よさん,yosan
遺影,いえい,iei
満天,まんてん,manten
服務,ふくむ,fukumu
錯誤,さくご,sakugo
四月馬鹿,しがつばか,shigatsubaka
快談,かいだん,kaidan
戒壇,かいだん,kaidan
怪談,かいだん,kaidan
慨嘆,がいたん,gaitan
慨歎,がいたん,gaitan
コークス,コークス,kookusu
山頂,さんちょう,sanchou
推薦,すいせん,suisen
推敲,すいこう,suikou
提唱,ていしょう,teishou
絶対値,ぜったいち,zettaichi
指名,しめい,shimei
入浴,にゅうよく,nyuuyoku
系統,けいとう,keitou
混同,こんどう,kondou
入籍,にゅうせき,nyuuseki
住宅,じゅうたく,juutaku
保険,ほけん,hoken
豚インフルエンザ,ぶたいんふるえんざ,butainfuruenza
本気,ほんき,honki
分離,ぶんり,bunri
短歌,たんか,tanka
化石,かせき,kaseki
清爽,せいそう,seisou
奸詐,かんさ,kansa
姦詐,かんさ,kansa
姦計,かんけい,kankei
奸計,かんけい,kankei
嚢中,のうちゅう,nouchuu
嚢裏,のうり,nouri
囊裏,のうり,nouri
能吏,のうり,nouri
脳裏,のうり,nouri
脳裡,のうり,nouri
脳中,のうちゅう,nouchuu
得意,とくい,tokui
特異,とくい,tokui
最上級,さいじょうきゅう,saijoukyuu
事理,じり,jiri
転用,てんよう,tenyou
感染,かんせん,kansen
感染症,かんせんしょう,kansenshou
男女,だんじょ,danjo
伝染病,でんせんびょう,densenbyou
妖星,ようせい,yousei
早世,そうせい,sousei
薄命,はくめい,hakumei
隕石,いんせき,inseki
包囲,ほうい,houi
報酬,ほうしゅう,houshuu
解除,かいじょ,kaijo
将棋,しょうぎ,shougi
モスクワ,モスクワ,mosukuwa
陰性,いんせい,insei
資本主義,しほんしゅぎ,shihonshugi
週刊,しゅうかん,shuukan
旬刊,じゅんかん,junkan
老母,ろうぼ,roubo
執行命令,しっこうめいれい,shikkoumeirei
法規命令,ほうきめいれい,houkimeirei
狭隘,きょうあい,kyouai
意外,いがい,igai
書庫,しょこ,shoko
性格,せいかく,seikaku
更改,こうかい,koukai
質素,しっそ,shisso
新郎新婦,しんろうしんぷ,shinroushinpu
洗面器,せんめんき,senmenki
清楚,せいそ,seiso
明晰,めいせき,meiseki
明晳,めいせき,meiseki
完済,かんさい,kansai
複眼,ふくがん,fukugan
周囲,しゅうい,shuui
率直,そっちょく,sotchoku
春秋,しゅんじゅう,shunjuu
壮観,そうかん,soukan
顧問,こもん,komon
喫緊,きっきん,kikkin
華麗,かれい,karei
誇大,こだい,kodai
単数,たんすう,tansuu
計画,けいかく,keikaku
胸算用,むなざんよう,munazanyou
抗議,こうぎ,kougi
日食,にっしょく,nisshoku
皆既日食,かいきにっしょく,kaikinisshoku
部分日食,ぶぶんにっしょく,bubunnisshoku
金環日食,きんかんにっしょく,kinkannisshoku
日蝕,にっしょく,nisshoku
養親,ようしん,youshin
勤続,きんぞく,kinzoku
両手,りょうて,ryoute
両方,りょうほう,ryouhou
死亡率,しぼうりつ,shibouritsu
点字,てんじ,tenji
綽綽,しゃくしゃく,shakushaku
野党,やとう,yatou
共和国,きょうわこく,kyouwakoku
同上,どうじょう,doujou
感動,かんどう,kandou
浸透,しんとう,shintou
時代,じだい,jidai
雄偉,ゆうい,yuui
勇敢,ゆうかん,yuukan
唯一,ゆいいつ,yuiitsu
聯盟,れんめい,renmei
失効,しっこう,shikkou
発効,はっこう,hakkou
宣託,せんたく,sentaku
託宣,たくせん,takusen
洗濯機,せんたくき,sentakuki
選出,せんしゅつ,senshutsu
当選,とうせん,tousen
落選,らくせん,rakusen
往生,おうじょう,oujou
史実,しじつ,shijitsu
候補,こうほ,kouho
親戚,しんせき,shinseki
国葬,こくそう,kokusou
拉致,らっち,ratchi
憮然,ぶぜん,buzen
美観,びかん,bikan
著名,ちょめい,chomei
書名,しょめい,shomei
結合,けつごう,ketsugou
結構,けっこう,kekkou
開票,かいひょう,kaihyou
敵視,てきし,tekishi
大禍,たいか,taika
一瞥,いちべつ,ichibetsu
凸凹,とつおう,totsuou
したがう,したがう,shitagau
不可算名詞,ふかさんめいし,fukasanmeishi
比例,ひれい,hirei
非礼,ひれい,hirei
放課,ほうか,houka
早計,そうけい,soukei
生業,せいぎょう,seigyou
失業,しつぎょう,shitsugyou
創建,そうけん,souken
創始,そうし,soushi
創造,そうぞう,souzou
入閣,にゅうかく,nyuukaku
雇用,こよう,koyou
悪癖,あくへき,akuheki
悪評,あくひょう,akuhyou
悪習,あくしゅう,akushuu
悪臭,あくしゅう,akushuu
空想,くうそう,kuusou
密封,みっぷう,mippuu
老人,ろうじん,roujin
きかえる,きがえる,kigaeru
無下,むげ,muge
敷居が高い,しきいがたかい,shikiigatakai
女神,じょしん,joshin
過大,かだい,kadai
過小,かしょう,kashou
貧困,ひんこん,hinkon
貧民,ひんみん,hinmin
意固地,いこじ,ikoji
敬老,けいろう,keirou
皚皚,がいがい,gaigai
海外,かいがい,kaigai
両分,りょうぶん,ryoubun
気障,きざ,kiza
加齢,かれい,karei
意気地,いきじ,ikiji
佳麗,かれい,karei
急用,きゅうよう,kyuuyou
容貌,ようぼう,youbou
養蜂,ようほう,youhou
用法,ようほう,youhou
堅強,けんきょう,kenkyou
牽強,けんきょう,kenkyou
牽強付会,けんきょうふかい,kenkyoufukai
推知,すいち,suichi
悪夢,あくむ,akumu
高慢,こうまん,kouman
燐寸,りんすん,rinsun
利用,りよう,riyou
妖怪,ようかい,youkai
恋慕,れんぼ,renbo
受傷,じゅしょう,jushou
授賞,じゅしょう,jushou
外道,げどう,gedou
奨金,しょうきん,shoukin
奨励金,しょうれいきん,shoureikin
陽子,ようし,youshi
中断,ちゅうだん,chuudan
流暢,りゅうちょう,ryuuchou
留鳥,りゅうちょう,ryuuchou
心血,しんけつ,shinketsu
心魂,しんこん,shinkon
力車,りきしゃ,rikisha
人力車,じんりきしゃ,jinrikisha
門歯,もんし,monshi
位牌,いはい,ihai
遺灰,いはい,ihai
闘志,とうし,toushi
水酸化物,すいさんかぶつ,suisankabutsu
各自,かくじ,kakuji
雑炊,ぞうすい,zousui
癇症,かんしょう,kanshou
悠長,ゆうちょう,yuuchou
砲丸,ほうがん,hougan
傑出,けっしゅつ,kesshutsu
真面目,しんめんもく,shinmenmoku
英気,えいき,eiki
直情径行,ちょくじょうけいこう,chokujoukeikou
職権,しょっけん,shokken
秘密,ひみつ,himitsu
光学,こうがく,kougaku
幽邃,ゆうすい,yuusui
些細,ささい,sasai
不憫,ふびん,fubin
不愍,ふびん,fubin
心算,しんさん,shinsan
多弁,たべん,taben
律師,りっし,risshi
紋章,もんしょう,monshou
封建制度,ほうけんせいど,houkenseido
幽翠,ゆうすい,yuusui
茶器,ちゃき,chaki
若干,じゃっかん,jakkan
瑣末,さまつ,samatsu
瑣細,ささい,sasai
些末,さまつ,samatsu
別荘,べっそう,bessou
別人,べつじん,betsujin
教鞭,きょうべん,kyouben
強制,きょうせい,kyousei
既定,きてい,kitei
未定,みてい,mitei
洋服,ようふく,youfuku
したぎ,したぎ,shitagi
天災,てんさい,tensai
甜菜,てんさい,tensai
自然現象,しぜんげんしょう,shizengenshou
雨量,うりょう,uryou
朱雀,しゅさか,shusaka
玄武,げんぶ,genbu
謁見,えっけん,ekken
格納,かくのう,kakunou
匿名,とくめい,tokumei
読破,どくは,dokuha
毒舌,どくぜつ,dokuzetsu
小心,しょうしん,shoushin
可算名詞,かさんめいし,kasanmeishi
口才,こうざい,kouzai
臣下,しんか,shinka
堕罪,だざい,dazai
無意義,むいぎ,muigi
無意味,むいみ,muimi
介助,かいじょ,kaijo
海恕,かいじょ,kaijo
解舒,かいじょ,kaijo
階除,かいじょ,kaijo
大宰,だざい,dazai
太宰,だざい,dazai
堕在,だざい,dazai
臣民,しんみん,shinmin
偉人,いじん,ijin
海水,かいすい,kaisui
海獣,かいじゅう,kaijuu
蕎麦粉,そばこ,sobako
二八蕎麦,にはちそば,nihachisoba
促進,そくしん,sokushin
檀那,だんな,danna
所有権,しょゆうけん,shoyuuken
鑑定,かんてい,kantei
地主,じぬし,jinushi
安静,あんせい,ansei
温厚,おんこう,onkou
経験,けいけん,keiken
農地,のうち,nouchi
軍機,ぐんき,gunki
油田,ゆでん,yuden
至難,しなん,shinan
そらごと,そらごと,soragoto
正確,せいかく,seikaku
精確,せいかく,seikaku
史料,しりょう,shiryou
旅行,りょこう,ryokou
病者,びょうしゃ,byousha
病人,びょうにん,byounin
病弱,びょうじゃく,byoujaku
強健,きょうけん,kyouken
優良,ゆうりょう,yuuryou
優美,ゆうび,yuubi
酷烈,こくれつ,kokuretsu
熾烈,しれつ,shiretsu
訪問,ほうもん,houmon
十分,じゅうぶん,juubun
間隔,かんかく,kankaku
急激,きゅうげき,kyuugeki
疱瘡,ほうそう,housou
教室,きょうしつ,kyoushitsu
衣服,いふく,ifuku
西方,さいほう,saihou
外部,がいぶ,gaibu
積雪,せきせつ,sekisetsu
降水,こうすい,kousui
反芻,はんすう,hansuu
充満,じゅうまん,juuman
深長,しんちょう,shinchou
不同,ふどう,fudou
有名,ゆうめい,yuumei
多少,たしょう,tashou
特記,とっき,tokki
過疎,かそ,kaso
論文,ろんぶん,ronbun
非道,ひどう,hidou
短縮,たんしゅく,tanshuku
要所,ようしょ,yousho
洋書,ようしょ,yousho
戰場,せんじょう,senjou
戦備,せんび,senbi
支配,しはい,shihai
戦時,せんじ,senji
蝶ネクタイ,ちょうネクタイ,chounekutai
煙草,たばこ,tabako
裙子,くんす,kunsu
小説,しょうせつ,shousetsu
図書館,としょかん,toshokan
産道,さんどう,sandou
産室,さんしつ,sanshitsu
襦袢,じゅばん,juban
合羽,かっぱ,kappa
外套,がいとう,gaitou
軽捷,けいしょう,keishou
戦略,せんりゃく,senryaku
基数,きすう,kisuu
隊伍,たいご,taigo
花園,はなぞの,hanazono
会見,かいけん,kaiken
改憲,かいけん,kaiken
懐剣,かいけん,kaiken
快感,かいかん,kaikan
巨利,きょり,kyori
賀詞,がし,gashi
餓死,がし,gashi
紙価,しか,shika
嗣子,しし,shishi
法式,ほうしき,houshiki
洋人,ようじん,youjin
放恣,ほうし,houshi
軟弱,なんじゃく,nanjaku
親密,しんみつ,shinmitsu
一礼,いちれい,ichirei
一例,いちれい,ichirei
諸所,しょしょ,shosho
諸処,しょしょ,shosho
路頭,ろとう,rotou
路辺,ろへん,rohen
炉頭,ろとう,rotou
厳禁,げんきん,genkin
陳列,ちんれつ,chinretsu
店舗,てんぽ,tenpo
滅亡,めつぼう,metsubou
平等,びょうどう,byoudou
湿潤,しつじゅん,shitsujun
予期,よき,yoki
露頭,ろとう,rotou
時空,じくう,jikuu
応接室,おうせつしつ,ousetsushitsu
応接間,おうせつま,ousetsuma
